id_product;id_manufacturer;online_only;reference
1002386;20511;0;002386
1007169;1131;0;007169
1007214;0;1;007214
1007267;1131;1;007267
1007270;1131;1;007270
1007395;14021;0;007395
1008818;2491;0;
1014672;4441;0;
1014729;0;0;
1014754;6374;0;
1015035;4821;0;
1018453;16981;1;018453
1024600;1131;1;024600
1024602;1131;1;024602
1028006;4486;0;
1028070;0;0;028070
1029702;1951;0;029702
1032637;0;1;032637
1034884;0;0;
1038808;2993;0;
1040412;1131;1;040412
1040851;15481;1;040851
1045441;19232;0;045441
1048937;18491;0;
1050099;13451;1;050099
1050100;13451;1;050100
1051367;21641;0;
1052824;4821;1;052824
1053955;4461;1;053955
1054481;1101;0;054481
1056127;123512;0;056127
1056128;13061;0;056128
1059080;3721;1;059080
1061156;123512;0;061156
1061709;13131;1;061709
1064197;4086;0;064197
1067435;2591;1;067435
1067437;2591;1;067437
1067438;2591;1;067438
1067439;2591;1;067439
1074325;2591;0;074325
1079391;3581;0;079391
1079464;2917;0;079464
1080332;2571;0;080332
1084487;2241;0;084487
1087246;5503;1;087246
1087637;55311;0;
1087639;55311;0;
1095645;4086;0;095645
1096765;3921;1;096765
1098478;5503;0;098478
1099576;2471;1;099576
1099585;1951;0;099585
1099947;1001;1;099947
1100441;5502;0;100441
1101917;1141;0;101917
1102378;5502;0;
1108139;1131;1;108139
1109813;5503;0;
1109911;6272;0;
1110367;5503;1;110367
1110368;5503;1;110368
1110369;5503;0;110369
1110370;5503;1;110370
1110371;5503;1;110371
1110372;5503;1;110372
1110373;5503;0;110373
1110375;5503;1;110375
1110376;5503;0;110376
1110402;5503;1;110402
1110913;5503;0;110913
1111076;2591;0;111076
1111819;0;0;111819
1112521;55211;0;112521
1112731;5502;0;112731
1113946;5502;0;
1114721;2441;0;114721
1115348;4086;0;115348
1119953;5502;0;119953
1122050;4097;0;122050
1124571;6561;1;124571
1124572;6561;1;124572
1125751;5502;0;125751
1125752;5502;1;125752
1126029;5503;1;126029
1126495;6027;0;126495
1129329;5448;1;129329
1130211;1001;1;130211
1132402;55311;1;132402
1133628;5503;1;133628
1136048;5502;0;136048
1138494;1001;1;138494
1142003;5503;0;142003
1142673;0;0;
1142677;0;0;
1142679;0;0;
1142681;0;0;142681
1142698;5502;1;142698
1142701;5502;0;142701
1142745;0;0;
1142749;0;0;
1142753;0;0;
1142757;0;0;
1142760;0;0;
1143657;55311;0;
1144631;5507;0;144631
1144635;5507;0;144635
1144640;5507;0;144640
19002284;14021;0;9002284
19004277;0;1;9004277
19004733;0;0;9004733
19004854;0;0;9004854
19005625;1001;0;9005625
19005716;1001;0;9005716
19007432;13971;1;9007432
19007830;20081;1;9007830
19007928;14931;0;9007928
19008477;2623;0;9008477
19009050;0;0;9009050
19011431;4301;1;9011431
19011842;21371;1;9011842
19011895;5391;1;9011895
19012480;123512;1;9012480
19013305;2122;1;9013305
19017831;2001;1;9017831
19019547;5445;0;
19111045;1051;0;9111045
19325568;1391;1;9325568
19341883;4779;1;9341883
19366292;4258;1;9366292
19382693;1001;0;9382693
19382744;3581;1;9382744
19382799;3581;0;9382799
19382810;123512;0;9382810
19454082;123512;1;9454082
19463105;0;0;9463105
19522412;0;0;9522412
19532238;2361;0;9532238
19532239;2361;0;9532239
19563169;0;0;9563169
19581434;0;0;9581434
19723755;18451;1;9723755
19972313;123515;1;9972313
100134820;4872;0;00134820
103449044;4441;0;03449044
150007275;123513;1;50007275
1000300453;1031;0;000302000453
1000301034;1031;0;000300001034
1000301076;1031;0;000300001076
1000301077;1031;0;000300001077
1000301146;1031;0;000300001146
1000302150;1031;0;000300002150
1000308119;1031;0;000300008119
1000308128;1031;0;000300008128
1000308130;1031;0;000300008130
1000351522;1031;0;000300151522
1000351552;1031;0;000300151552
1001300981;1131;1;001300900981
1001341169;1131;1;001300941169
1001450152;1141;0;001400150152
1001450164;1141;0;001400150164
1001450207;1141;0;001400150207
1001451002;1141;0;
1001490047;1141;0;001490047
1001490059;1141;0;001490059
1001580030;123514;0;
1001580082;123514;0;
1002250120;1221;0;
1002250452;1221;0;
1002250465;1221;0;
1002251125;1221;1;002200151125
1002700800;1271;0;002700300800
1002790001;1271;1;002790001
1003700019;1371;1;003774400019
1003790003;1371;0;003790003
1003790004;1371;1;003790004
1003790024;1371;1;003790024
1003920220;1391;0;003900320220
1003942314;1391;0;
1004440506;1441;0;004400940506
1004440636;1441;0;004400940636
1004514012;1451;0;
1004516022;1451;0;
1004520613;1451;1;004500020613
1004520615;1451;1;004500020615
1005170046;0;0;005100170046
1005330100;1531;0;005300330100
1005330105;1531;1;005300330105
1006040033;0;0;006000940033
1006040425;0;0;006000940425
1006047714;0;0;006000947714
1006047766;0;0;006000947766
1006081260;0;0;006006081260
1006091446;0;1;006091446
1006091557;1601;0;006091557
1006091574;1601;0;006091574
1009940098;0;0;009900940098
1009940715;0;0;009900940715
1009940810;0;0;009900940810
1009941163;0;1;009900941163
1009990009;0;1;009990009
1009990013;123512;0;009990013
1010032526;2001;0;
1010039808;2001;0;
1010047405;2001;0;
1010059417;2001;0;010099159417
1010096611;2001;0;
1010098994;2001;0;
1010720035;2071;0;010700520035
1010720460;2071;0;010700520460
1011230453;2121;1;011200430453
1011520010;2151;0;011500520010
1011520012;2151;0;011500520012
1011520022;2151;1;011500520022
1011520042;2151;0;011500520042
1011520047;2151;0;011500520047
1011520052;2151;0;011500520052
1011520053;2151;0;011500520053
1011520074;2151;0;011500520074
1011520083;2151;0;011500520083
1011520104;2151;0;011500520104
1011770085;0;0;011700270085
1011770090;0;0;011700270090
1012910015;0;0;012900210015
1013660082;2361;0;
1013690006;2361;0;
1013690058;2361;0;
1013690104;2361;0;
1013690150;2361;0;
1014440175;0;0;014400940175
1014440221;2441;0;
1014441665;2441;1;014400941665
1014441761;2441;0;
1014490067;2441;0;014490067
1014490072;2441;0;014490072
1014710100;2471;0;014700210100
1015710451;2571;0;
1015710476;2571;0;
1015710822;2571;0;
1015711829;2571;0;
1015913034;2591;0;015900013034
1016000042;2611;1;016002000042
1016603293;2661;0;016600303293
1017800055;2781;0;017800900055
1018747184;0;0;018700947184
1018747185;0;0;018700947185
1018747215;0;0;018700947215
1019090010;2901;0;019090010
1023350514;3331;0;023300150514
1023350519;3331;0;023300150519
1028780099;3871;1;028700380099
1028880007;3881;0;028800580007
1028880047;3881;0;028800580047
1029010115;3901;0;029000210115
1029090776;3901;0;029000590776
1033008281;4301;0;033009108281
1033047149;4301;0;
1034413940;4441;0;034400213940
1034490013;4441;1;034490013
1035890008;0;0;035890008
1036010202;4601;0;036000210202
1038900040;4891;0;038900900040
1038900085;4891;0;
1040630001;0;0;040600030001
1040630037;5061;0;040600030037
1040630042;5061;0;040600030042
1040630148;5061;0;040600330148
1040639329;5061;0;040600339329
1040690013;5061;0;040690013
1041990004;5191;1;041990004
1042410380;5241;0;042400210380
1042410395;5241;0;042400210395
1042410610;5241;0;042400210610
1042410620;5241;0;042400210620
1042415041;5241;1;042400215041
1042415043;5241;1;042400215043
1042418436;5241;0;042400018436
1042418462;5241;0;042400018462
1042418472;5241;0;042400018472
1042430159;5241;0;042400030159
1043890012;5381;0;043890012
1043890019;5381;0;043890019
1044900901;5491;0;044900900901
1100100114;0;1;100102000114
1100790003;2607;0;100790003
1100790004;2607;0;100790004
1102500004;0;0;102502000004
1103011732;2571;0;103000211732
1103900003;11392;0;103902000003
1103900005;11392;0;103902000005
1103900007;11392;0;103902000007
1106650585;11661;0;106600150585
1113600013;12361;1;113602000013
1113600014;12361;1;113602000014
1113600015;12361;1;113602000015
1113600016;12361;0;113602000016
1113600018;12361;0;113602000018
1113600020;12361;0;113602000020
1117420100;0;0;
1119400030;0;0;
1119400050;0;0;119400800050
1119550606;12951;0;119500150606
1119550607;12951;0;119500150607
1119590003;12951;0;119590003
1120200006;13021;0;120200300006
1120200021;13021;1;120200300021
1120200061;13021;0;120200300061
1120200088;13021;0;120200300088
1120200100;13021;0;120200300100
1122810510;13281;0;122800210510
1122810709;13281;0;122800210709
1125409673;0;0;125400309673
1125409993;0;1;125400309993
1125690016;1041;0;125690016
1125690017;1041;0;125690017
1127725100;13771;1;127700025100
1130718075;123512;0;130718075
1130890003;0;0;130890003
1134100063;14411;1;134102000063
1135210041;14521;0;135200210041
1135290004;14521;0;135290004
1139210004;0;1;139200210004
1139310048;14931;1;139300210048
1143160009;15311;0;143100860009
1151200032;0;0;151200900032
1152240200;0;0;152200940200
1152240205;0;0;152200940205
1152244615;0;0;152200944615
1152244660;0;0;152200944660
1159210835;0;0;159200810835
1162440009;17241;0;162400940009
1163960400;17391;1;163900960400
1169380033;17931;1;169300180033
1169380040;17931;0;169300180040
1169380083;17931;0;169300180083
1169580036;17951;0;
1169580127;17951;0;
1169580140;17951;0;
1169580790;17951;0;169500580790
1171990009;18191;1;171990009
1171990030;18191;0;171990030
1171990057;0;0;171990057
1171990060;18191;0;171990060
1174500049;18451;1;174502000049
1190810034;20081;0;
1197400027;20741;0;197402000027
1198800061;20881;0;198802000061
1200990010;21091;0;200990010
1203020641;21301;0;203000020641
1203021728;21305;1;203021728
1203021766;21305;1;203021766
1203021770;21305;0;203021770
1203021794;21305;0;
1203021950;21302;1;203000021950
1203023116;21302;0;203000023116
1203023117;21302;0;203000023117
1203023284;21301;0;203000023284
1203023466;21301;0;
1203023590;21301;0;
1203023591;21301;0;
1203023762;21302;0;
1203024013;21302;0;203024013
1203024098;21302;0;203000024098
1203024372;21302;0;203000024372
1203024373;21302;0;203000024373
1203024835;21301;0;203000024835
1203024975;21305;0;
1203025278;21302;0;203000025278
1203025733;21302;0;203000025733
1203025734;21302;0;203000025734
1203026399;21301;0;203026399
1203026646;21301;0;203000026646
1203026662;21301;0;203026662
1203026728;21307;0;
1203026738;21307;0;
1203026745;21307;0;
1203026746;21307;0;
1203026755;21307;0;
1203026878;21301;1;203026878
1203026956;21302;0;203026956
1203027018;21301;0;
1203027020;21301;0;
1203027189;21302;0;
1203027726;21301;0;203027726
1203027884;21301;0;203027884
1203027940;21301;0;203027940
1203027942;21301;0;203027942
1203027945;21301;0;203027945
1203027947;21301;0;203027947
1203027951;21301;0;203027951
1203028022;0;0;203028022
1203028037;21301;0;
1203028048;21301;0;
1203028059;21301;0;
1203028071;21302;0;203028071
1203028103;21301;0;203028103
1203028104;21301;0;203028104
1203028136;21301;0;203028136
1203028138;21302;0;203028138
1203028139;21302;0;203028139
1203028140;21302;0;203028140
1203028141;21302;0;203028141
1203039990;21301;0;203039990
1203040010;0;0;
1203096471;4471;0;
1203096479;4471;0;
1203096487;4471;0;
1203096491;4471;0;
1203097549;21302;0;
1203180078;21311;0;203100580078
1205390019;21531;0;205390019
1205390021;21531;0;205390021
1205390023;21531;0;205390023
1205390025;21531;0;205390025
1220350011;16451;0;220300150011
1225490007;123515;0;225490007
1253180002;0;0;253100580002
1253680004;0;0;253600580004
1254190009;0;0;254190009
1254540001;0;0;254500240001
1258290074;0;1;258290074
1258290082;0;1;258290082
1258490026;0;1;258490026
1258490043;0;1;258490043
1258590037;0;0;258590037
1258690022;0;0;
1258990001;0;0;
1259790013;123512;0;259790013
1259790017;123512;0;259790017
1259790023;0;0;259790023
1259790026;123512;0;259790026
1259790048;0;1;259790048
1368900816;0;0;368931400816
1750594535;1601;0;750594535
1933706090;0;1;933706090
1999990029;0;0;016002000003
1999990030;0;0;016002000050
1999990031;0;0;016002000051
1999990032;0;0;016002000052
1999990033;0;0;105600003
1999990034;0;0;105600010
1999990035;0;0;105600006
1999990036;0;0;105600008
1999990037;0;0;105600002
1999990038;0;0;105600025
1999990039;0;0;105600014
1999990040;0;0;105600005
1999990041;0;0;105600012
1999990042;0;0;105600016
1999990043;0;0;105600009
1999990044;0;0;105600007
1999990045;0;0;105600004
1999990046;0;0;119500150100
1999990047;0;0;119500150106
1999990048;0;0;119500150105
1999990049;0;0;119500150102
1999990050;0;0;119500150104
1999990051;0;0;119500150115
1999990052;0;0;119500150111
1999990053;0;0;119500150103
1999990054;0;0;119500150101
1999990055;0;0;119500150110
1999990056;0;0;119500150519
1999990057;0;0;119500150120
1999990058;0;0;203027579
1999990059;0;0;203027578
1999990060;0;0;203027289
1999990061;0;0;105994
1999990062;0;0;105993
1999990063;0;0;105997
1999990064;0;0;105996
1999990065;0;0;105995
1999990066;0;0;087368
1999990067;0;0;109812
1999990068;0;0;109814
1999990069;0;0;109813
1999990070;0;0;079247
1999990071;0;0;042400030168
1999990072;0;0;042400030169
1999990073;0;0;042400018484
1999990074;0;0;042400030170
1999990075;0;0;042400018481
1999990076;0;0;042400018486
1999990077;0;0;042400030165
1999990078;0;0;042400030164
1999990079;0;0;042400018480
1999990080;0;0;042400030163
1999990081;0;0;042400030167
1999990082;0;0;042400030171
1999990083;0;0;042400030166
1999990084;0;0;042400018483
1999990085;0;0;042400018487
1999990086;0;0;042400030172
1999990087;0;0;042400018489
1999990088;0;0;042400030162
1999990089;0;0;042400018490
1999990090;0;0;042400018492
1999990091;0;0;042400030160
1999990092;0;0;042400030161
1999990093;0;0;042400018493
1999990094;0;0;214200860003
1999990095;0;0;214200860004
1999990096;0;0;214200860005
1999990097;0;0;214200860006
1999990098;0;0;214200860034
1999990099;0;0;081272
1999990100;0;0;006100590503
1999990101;0;0;006100590504
1999990102;0;0;006100590505
1999990103;0;0;006100590502
1999990104;0;0;101162
1999990105;0;0;101163
1999990106;0;0;101164
1999990107;0;0;101165
1999990108;0;0;111731
1999990109;0;0;111732
1999990110;0;0;111733
1999990111;0;0;106037
1999990112;0;0;106040
1999990113;0;0;106042
1999990114;0;0;107290001
1999990115;0;0;107290005
1999990116;0;0;107290006
1999990117;0;0;107290002
1999990118;0;0;107290003
1999990119;0;0;107290004
1999990120;0;0;055429
1999990121;0;0;055428
1999990122;0;0;055430
1999990123;0;0;013600860367
1999990124;0;0;013600860368
1999990125;0;0;013600860369
1999990126;0;0;013600860370
1999990127;0;0;013600860371
1999990128;0;0;013600860372
1999990129;0;0;013600860373
1999990130;0;0;013600860374
1999990131;0;0;013600860375
1999990132;0;0;013600860376
1999990133;0;0;013600860377
1999990134;0;0;013600860389
1999990135;0;0;013690091
1999990136;0;0;100600150009
1999990137;0;0;100600150011
1999990138;0;0;100600150010
1999990139;0;0;100690025
1999990140;0;0;100690026
1999990141;0;0;100600150051
1999990142;0;0;100600150052
1999990143;0;0;100600150053
1999990144;0;0;118596
1999990145;0;0;118597
1999990147;0;0;203000023490
1999990148;0;0;203000023467
1999990149;0;0;203000023466
1999990150;0;0;203000023469
1999990151;0;0;203000023468
1999990152;0;0;203000023688
1999990153;0;0;203000023491
1999990154;0;0;203000023492
1999990155;0;0;203000023483
1999990156;0;0;203000023482
1999990157;0;0;203000023484
1999990158;0;0;203000023485
1999990159;0;0;203000023690
1999990160;0;0;203000026118
1999990161;0;0;203000026123
1999990162;0;0;203000026124
1999990163;0;0;203000026117
1999990164;0;0;203000021194
1999990165;0;0;203000021193
1999990166;0;0;203000021413
1999990167;0;0;203000021412
1999990168;0;0;203900520001
1999990169;0;0;203900520002
1999990170;0;0;203000024862
1999990171;0;0;203000024863
1999990172;0;0;203000024864
1999990173;0;0;203000024865
1999990174;0;0;203000025582
1999990175;0;0;203000025587
1999990176;0;0;203000025594
1999990177;0;0;203000025583
1999990178;0;0;203000025588
1999990179;0;0;203000025592
1999990180;0;0;203000025595
1999990181;0;0;203000025602
1999990182;0;0;203000025607
1999990183;0;0;203000025589
1999990184;0;0;203000025596
1999990185;0;0;203000025590
1999990186;0;0;203000025597
1999990187;0;0;203000025603
1999990188;0;0;203000025608
1999990189;0;0;203000025604
1999990190;0;0;203000025609
1999990191;0;0;203000025598
1999990192;0;0;203000025612
1999990193;0;0;203000025613
1999990194;0;0;203000025605
1999990195;0;0;203000025614
1999990196;0;0;203000025617
1999990197;0;0;203000025620
1999990198;0;0;203000025606
1999990199;0;0;203000025611
1999990200;0;0;203000025615
1999990201;0;0;203000025619
1999990202;0;0;203000025622
1999990203;0;0;013600860070
1999990204;0;0;013600860071
1999990205;0;0;013600860072
1999990206;0;0;013600860073
1999990207;0;0;013600860074
1999990208;0;0;013600860075
1999990209;0;0;013600860076
1999990210;0;0;013600860077
1999990211;0;0;013600860078
1999990212;0;0;013600860535
1999990214;0;0;203000024704
1999990215;0;0;203000024706
1999990216;0;0;203000024705
1999990217;0;0;203000024707
1999990218;0;0;203000024708
1999990219;0;0;203000024709
1999990220;0;0;203000024710
1999990221;0;0;203000024712
1999990222;0;0;083083
1999990223;0;0;083080
1999990224;0;0;083081
1999990225;0;0;083082
1999990226;0;0;083084
1999990227;0;0;083085
1999990228;0;0;083086
1999990229;0;0;083087
1999990230;0;0;083088
1999990231;0;0;083089
1999990232;0;0;083090
1999990233;0;0;074663
1999990234;0;0;074630
1999990235;0;0;074658
1999990236;0;0;074659
1999990237;0;0;074660
1999990238;0;0;074661
1999990239;0;0;074662
1999990240;0;0;074664
1999990241;0;0;074665
1999990242;0;0;089099
1999990243;0;0;120062
1999990244;0;0;120063
1999990245;0;0;120064
1999990246;0;0;120065
1999990247;0;0;203000021982
1999990248;0;0;203000021983
1999990249;0;0;203000021984
1999990250;0;0;203000021985
1999990251;0;0;203000021986
1999990252;0;0;203000021987
1999990253;0;0;203000021988
1999990254;0;0;203000021989
1999990255;0;0;117076
1999990256;0;0;117077
1999990257;0;0;117078
1999990258;0;0;117079
1999990259;0;0;071000
1999990260;0;0;119511
1999990261;0;0;119510
1999990262;0;0;750590312
1999990263;0;0;750590316
1999990264;0;0;750592513
1999990265;0;0;750593516
1999990266;0;0;750593512
1999990267;0;0;750592516
1999990268;0;0;750590320
1999990269;0;0;750590325
1999990270;0;0;750590416
1999990271;0;0;750592525
1999990272;0;0;750590330
1999990273;0;0;750590335
1999990274;0;0;750590420
1999990275;0;0;750593525
1999990276;0;0;750593530
1999990277;0;0;750590425
1999990278;0;0;750592530
1999990279;0;0;750593535
1999990280;0;0;750590340
1999990281;0;0;750590417
1999990282;0;0;750594520
1999990283;0;0;750590430
1999990284;0;0;750590435
1999990285;0;0;750593545
1999990286;0;0;750593550
1999990287;0;0;750590440
1999990288;0;0;750594530
1999990289;0;0;750590450
1999990290;0;0;750594540
1999990291;0;0;750590530
1999990292;0;0;750594545
1999990293;0;0;750590460
1999990294;0;0;750590535
1999990295;0;0;750590470
1999990296;0;0;750594550
1999990297;0;0;750590540
1999990298;0;0;750594555
1999990299;0;0;750590550
1999990300;0;0;750594570
1999990301;0;0;750594565
1999990302;0;0;750590520
1999990303;0;0;750590560
1999990304;0;0;750590640
1999990305;0;0;750590570
1999990306;0;0;750590650
1999990307;0;0;750590580
1999990308;0;0;750590660
1999990309;0;0;750590590
1999990310;0;0;750590670
1999990311;0;0;750590510
1999990312;0;0;750590680
1999990313;0;0;750590690
1999990314;0;0;750590610
1999990315;0;0;750590611
1999990316;0;0;750590512
1999990317;0;0;750590612
1999990318;0;0;750590613
1999990319;0;0;750590614
1999990320;0;0;750590615
1999990321;0;0;750590616
1999990322;0;0;750590618
1999990323;0;0;203000025642
1999990324;0;0;203000021387
1999990325;0;0;203000022563
1999990326;0;0;203000022562
1999990327;0;0;203041112
1999990328;0;0;203041121
1999990329;0;0;203041081
1999990330;0;0;203041083
1999990331;0;0;203041085
1999990332;0;0;203041088
1999990333;0;0;203041089
1999990334;0;0;203041091
1999990335;0;0;203041092
1999990336;0;0;203041093
1999990337;0;0;203041094
1999990338;0;0;203041095
1999990339;0;0;203041096
1999990340;0;0;203041098
1999990341;0;0;203041100
1999990342;0;0;203041101
