id_image;id_product;position;cover
898808;1203020533;1;1
1435554;1203023664;1;1
1435992;1203027148;1;1
1435993;1203027149;1;1
1435995;1203027151;1;1
1435998;1203027155;1;1
1460758;1203027156;1;1
1470992;1203027154;1;1
1486177;1203024100;1;1
1548086;1203020473;1;1
1548087;1203020474;1;1
1548091;1203020530;1;1
1583308;1203024866;1;1
1719543;1034490016;1;1
1779835;1034413938;1;1
1885372;1203025671;1;1
1902495;1087164;1;1
1905195;1087164;2;
1906300;1139010153;1;1
1906306;1112455;1;1
1906307;1112455;2;
1906308;1112455;3;
1908942;1139010153;2;
1908943;1139010153;3;
1908960;1112455;4;
1908961;1112455;5;
1908962;1112455;6;
1908963;1112455;7;
1908964;1112455;8;
1908965;1112455;9;
1930339;1118894;1;1
1972428;1030030041;1;1
1972429;1030030042;1;1
1972431;1030030044;1;1
1993708;1016603395;1;1
1993709;1016603395;2;
1993710;1016603395;3;
1993711;1016603395;4;
1994264;1016603395;5;
1994265;1016603395;6;
1994266;1016603395;7;
1994267;1016603395;8;
1994268;1016603395;9;
1994269;1016603395;10;
1994270;1016603395;11;
1994271;1016603395;12;
2082897;1100283;1;1
2085097;1100283;2;
2085098;1100283;3;
2085099;1100283;4;
2097671;1214260078;1;1
2115180;0;1;1
2117766;0;2;
2145425;1124099;1;1
2266804;1106056;1;1
2266805;1106056;2;
2299965;1124100;1;1
2311135;1105490008;1;1
2323699;0;3;
2323700;0;4;
2323701;0;5;
2323702;0;6;
2323703;0;7;
2323704;0;8;
2325308;1139010162;1;1
2328214;1139010162;2;
2328215;1139010162;3;
2328216;1139010162;4;
2328217;1139010162;5;
2328218;1139010162;6;
2328219;1139010162;7;
2328220;1139010162;8;
2328221;1139010162;9;
2328222;1139010162;10;
2362081;1118518;1;1
2362082;1118518;2;
2362083;1118518;3;
2362084;1118518;4;
2362085;1118518;5;
2362086;1118518;6;
2384200;1016603282;1;1
2384279;1033040131;1;1
2384483;1099566;1;1
2384484;1099566;2;
2384485;1099566;3;
2384492;1099569;1;1
2384493;1099569;2;
2384494;1099569;3;
2384495;1099572;1;1
2384496;1099572;2;
2384497;1099572;3;
2384498;1099572;4;
2384499;1099572;5;
2384500;1099572;6;
2384530;1103011722;1;1
2384531;1103011743;1;1
2384532;1103011930;1;1
2384542;1103750427;1;1
2384566;1104175;1;1
2384567;1104175;2;
2384568;1104175;3;
2384569;1104175;4;
2384577;1105052;1;1
2384578;1105052;2;
2384579;1105052;3;
2384583;1105726;1;1
2384609;1109150862;1;1
2384611;1109198422;1;1
2384612;1109117502;1;1
2384613;1109119472;1;1
2384634;1113803;1;1
2384662;1119550094;1;1
2384673;1122811950;1;1
2384862;1178700126;1;1
2384881;1197400029;1;1
2384957;1203096361;1;1
2384964;1203021813;1;1
2385017;1205900047;1;1
2398329;1114022;1;1
2434113;1105490003;1;1
2434115;1105490009;1;1
2442489;1115795;1;1
2442490;1115795;2;
2442491;1115795;3;
2469842;1205700023;1;1
2496052;1088872;1;1
2522705;1097522;1;1
2522796;1107518;1;1
2540765;0;9;
2540766;0;10;
2540767;0;11;
2540768;0;12;
2540769;0;13;
2540770;0;14;
2540771;0;15;
2540772;0;16;
2540773;0;17;
2540774;0;18;
2540775;0;19;
2540776;0;20;
2540777;0;21;
2540778;0;22;
2540779;0;23;
2540780;0;24;
2540781;0;25;
2540782;0;26;
2540783;0;27;
2540784;0;28;
2540785;0;29;
2540786;0;30;
2540787;0;31;
2540788;0;32;
2540789;0;33;
2540790;0;34;
2542252;0;35;
2542253;0;36;
2542254;0;37;
2542255;0;38;
2542256;0;39;
2542257;0;40;
2542258;0;41;
2542259;0;42;
2542260;0;43;
2542261;0;44;
2542262;0;45;
2542263;0;46;
2542264;0;47;
2542265;0;48;
2542266;0;49;
2542267;0;50;
2542268;0;51;
2542269;0;52;
2542270;0;53;
2542271;0;54;
2542272;0;55;
2542273;0;56;
2542274;0;57;
2542275;0;58;
2542276;0;59;
2542277;0;60;
2553349;1160680017;1;1
2554792;1160680017;2;
2554793;1160680017;3;
2554794;1160680017;4;
2556830;1098155;1;1
2581162;1104932;1;1
2584799;1035520734;1;1
2587454;1203026367;1;1
2587489;1203021968;1;1
2587569;1203023831;1;1
2587570;1203025852;1;1
2587884;1111392;1;1
2588236;1159201030;1;1
2588242;1159201250;1;1
2588243;1159201260;1;1
2588244;1159201460;1;1
2588245;1159210629;1;1
2588371;1203023104;1;1
2588479;1203026762;1;1
2588484;1203026769;1;1
2588502;1203020681;1;1
2588517;1203023603;1;1
2588518;1203023604;1;1
2588519;1203023605;1;1
2588524;1203024150;1;1
2588606;1203027851;1;1
2588706;1223760177;1;1
2589420;1203026367;2;
2589421;1203026367;3;
2589422;1203026367;4;
2589423;1203026367;5;
2589424;1203026367;6;
2589425;1203026367;7;
2589426;1203026367;8;
2589582;1203021968;2;
2589583;1203021968;3;
2590001;1203023831;2;
2590002;1203025852;2;
2591847;1198800099;1;1
2591848;1198800099;2;
2592082;1139010149;1;1
2592189;1198800216;1;1
2592190;1198800216;2;
2592390;1047961151;1;1
2592784;1198800229;1;1
2592785;1198800229;2;
2592788;1198800231;1;1
2592789;1198800231;2;
2593949;1198800099;3;
2593950;1198800099;4;
2593951;1198800099;5;
2593952;1198800099;6;
2593953;1198800099;7;
2593954;1198800099;8;
2593955;1198800099;9;
2593956;1198800099;10;
2595361;1139010149;2;
2595362;1139010149;3;
2596315;1198800216;3;
2596316;1198800216;4;
2596317;1198800216;5;
2596318;1198800216;6;
2596653;1132710350;1;1
2596654;1132710350;2;
2596656;1132710349;1;1
2596657;1132710349;2;
2597009;1060400;1;1
2597019;1062796;1;1
2597020;1062796;2;
2597021;1062797;1;1
2597028;1066767;1;1
2597042;1082216;1;1
2597043;1082216;2;
2597077;1101890;1;1
2597078;1101890;2;
2597129;1104043733;1;1
2597418;1132710509;1;1
2597419;1132710509;2;
2597434;1132720080;1;1
2597435;1132720080;2;
2597448;1132720145;1;1
2597449;1132720145;2;
2597454;1132720148;1;1
2597455;1132720148;2;
2597458;1132720150;1;1
2597459;1132720150;2;
2597569;19723983;1;1
2599029;1132710350;3;
2599030;1132710350;4;
2599031;1132710350;5;
2599032;1132710350;6;
2599035;1132710349;3;
2599036;1132710349;4;
2599037;1132710349;5;
2599038;1132710349;6;
2600451;1129979;1;1
2604298;1135021;1;1
2610759;1122116;1;1
2610760;1122116;2;
2615164;1000307588;1;1
2615220;1000300466;1;1
2615271;1000390005;1;1
2615610;151000416;1;1
2633808;1139010045;1;1
2633958;1078084;1;1
2634396;1110016;1;1
2634457;1113640386;1;1
2634489;1115384;1;1
2634490;1115384;2;
2634744;112300531;1;1
2634822;1130890019;1;1
2634828;1132710066;1;1
2634829;1132710310;1;1
2634832;1132710393;1;1
2634833;1132710393;2;
2634855;1132720149;1;1
2634856;1132720149;2;
2634927;1148700026;1;1
2636400;1139010045;2;
2636401;1139010045;3;
2636402;1139010045;4;
2636403;1139010045;5;
2636404;1139010045;6;
2641360;1000301093;1;1
2641372;1000307587;1;1
2641434;1000300477;1;1
2641512;1001450076;1;1
2641513;1001450076;4;
2641514;1001450076;3;
2641515;1001450076;2;
2641562;1001451064;1;1
2641689;1004710148;1;1
2641780;1007110;1;1
2641781;1007110;2;
2642040;1011520011;1;1
2642149;1014500331;1;1
2642150;1014500331;2;
2642171;1015710275;1;1
2642175;1015710283;1;1
2642187;1015710543;1;1
2644045;1047677;1;1
2644046;1047677;2;
2644133;1042416086;1;1
2644140;1042416050;1;1
2644168;1015720150;1;1
2644173;1015720294;1;1
2644189;1015913049;1;1
2644297;1016603315;1;1
2644485;1025050022;1;1
2644486;1025050023;1;1
2644487;1025050024;1;1
2644488;1025050025;1;1
